frame,track_id,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence
1,2,586.47156,375.8714,548.6964111328125,337.8781433105469,624.2467041015625,413.8646545410156,0.8230725526809692
1,3,681.48157,280.78973,643.135009765625,242.10079956054688,719.828125,319.4786682128906,0.6844603419303894
3,3,676.0383,273.9892,638.4951782226562,235.38375854492188,713.5814819335938,312.5946350097656,0.46831393241882324
4,7,744.7649,162.22849,705.0847778320312,123.02229309082031,784.4450073242188,201.4346923828125,0.6967974305152893
4,3,673.1057,272.29108,637.013427734375,231.36082458496094,709.1980590820312,313.2213439941406,0.5543437004089355
5,7,746.88696,167.98302,707.96435546875,128.2673797607422,785.8095092773438,207.6986541748047,0.6159089803695679
5,3,668.3662,273.4107,631.1150512695312,231.1300506591797,705.6173095703125,315.69134521484375,0.39510422945022583
6,7,749.9509,176.09653,712.125244140625,136.52691650390625,787.7765502929688,215.6661376953125,0.3492134213447571
6,3,662.9834,270.60352,624.26513671875,225.87576293945312,701.7015991210938,315.33123779296875,0.7360469698905945
10,14,638.6974,370.9406,599.9573364257812,332.6605529785156,677.4374389648438,409.220703125,0.7930712699890137
11,14,642.96765,356.15405,601.2460327148438,309.7850341796875,684.689208984375,402.5230712890625,0.8126431703567505
13,3,651.9099,287.93924,614.8363037109375,249.3457489013672,688.9835815429688,326.5327453613281,0.8271080255508423
14,3,654.61755,275.00497,617.9989624023438,238.3526611328125,691.2362060546875,311.65728759765625,0.6814862489700317
15,3,658.4398,260.47632,620.7635498046875,222.969970703125,696.1161499023438,297.9826965332031,0.5182790756225586
16,3,663.9055,247.80951,627.1295166015625,211.52281188964844,700.6815185546875,284.09619140625,0.8472102284431458
16,18,555.3395,168.84497,516.4279174804688,130.84278869628906,594.2510986328125,206.84713745117188,0.785045325756073
17,3,670.1528,236.3696,633.9014282226562,198.57583618164062,706.4041137695312,274.1633605957031,0.5870121717453003
17,18,548.8025,168.79517,509.191650390625,130.33261108398438,588.413330078125,207.25770568847656,0.7736579179763794
18,3,674.9817,228.46516,637.2598266601562,191.82583618164062,712.7034912109375,265.1044921875,0.8063373565673828
18,18,543.3608,169.9151,502.9820861816406,131.28799438476562,583.7394409179688,208.5421905517578,0.8617337942123413
18,19,747.0491,539.0931,708.949951171875,502.5648498535156,785.1481323242188,575.621337890625,0.8756595253944397
19,3,680.244,222.99155,642.4209594726562,188.8812713623047,718.0670166015625,257.101806640625,0.7451748847961426
19,18,541.5796,174.40285,501.16143798828125,135.7227325439453,581.997802734375,213.0829620361328,0.7841905355453491
20,3,685.06915,214.87651,648.5960693359375,179.67800903320312,721.542236328125,250.07501220703125,0.6571361422538757
20,18,542.5311,182.16977,502.06732177734375,144.16375732421875,582.9949340820312,220.17578125,0.5639875531196594
21,3,691.90906,207.25745,655.3121948242188,172.73406982421875,728.5059204101562,241.7808380126953,0.5362690687179565
21,18,546.60126,195.30319,506.3742980957031,156.88235473632812,586.8281860351562,233.72401428222656,0.7988497614860535
22,3,700.02,197.56622,662.1280517578125,162.39064025878906,737.9119262695312,232.74180603027344,0.6732881665229797
22,18,551.8247,212.29115,512.146240234375,173.19369506835938,591.5032348632812,251.38861083984375,0.7953959703445435
23,3,707.99207,189.96889,669.3388061523438,154.99449157714844,746.645263671875,224.9432830810547,0.6174880862236023
23,18,558.2554,235.99995,518.1279296875,196.98843383789062,598.3827514648438,275.011474609375,0.7899089455604553
24,3,715.1184,190.73587,672.3248291015625,146.9613800048828,757.9119873046875,234.51034545898438,0.5044888257980347
24,18,565.9127,260.61227,527.4367065429688,219.2534637451172,604.3887329101562,301.9710998535156,0.8989822268486023
25,18,571.5281,289.0652,533.3823852539062,249.29644775390625,609.673828125,328.8338928222656,0.8202854990959167
26,18,579.339,324.41974,541.9851684570312,286.4165954589844,616.6927490234375,362.4228515625,0.7229750156402588
27,21,698.2118,296.4558,659.789794921875,256.6683044433594,736.6337890625,336.2433166503906,0.7819459438323975
27,2,587.5563,371.01154,550.2364501953125,331.8369140625,624.8760986328125,410.1861572265625,0.8283728361129761
28,21,694.49774,283.253,656.6671752929688,244.5967559814453,732.3283081054688,321.9092102050781,0.8025193810462952
31,21,680.12537,271.461,640.6827392578125,228.67774963378906,719.5679321289062,314.2442626953125,0.4232463836669922
33,26,762.3003,202.2514,724.13037109375,163.04287719726562,800.4701538085938,241.4599151611328,0.8610703945159912
34,26,761.9198,215.91077,722.7723388671875,175.86387634277344,801.0672607421875,255.95767211914062,0.4943559765815735
34,18,620.4143,444.3917,582.5892333984375,408.1626281738281,658.2393798828125,480.6207580566406,0.689359724521637
35,26,762.66095,231.48293,722.9251708984375,187.62603759765625,802.396728515625,275.3398132324219,0.3049187958240509
36,26,760.8146,257.57172,720.7711791992188,215.98321533203125,800.8580322265625,299.16021728515625,0.7797033786773682
36,2,624.1712,375.2268,585.1173095703125,336.9555969238281,663.22509765625,413.4980163574219,0.7503703832626343
37,26,757.86414,286.75372,718.7908325195312,246.91319274902344,796.9374389648438,326.5942687988281,0.5665671229362488
37,2,628.1574,354.2673,589.125,314.8127136230469,667.1898193359375,393.7218933105469,0.7307779788970947
38,26,755.60913,319.48932,717.2332153320312,278.9927978515625,793.9850463867188,359.9858703613281,0.34524771571159363
38,2,630.23987,331.48193,592.1275024414062,292.15045166015625,668.352294921875,370.8134460449219,0.8407392501831055
39,2,631.62115,308.1468,594.2666625976562,268.519287109375,668.9756469726562,347.7743225097656,0.7661807537078857
40,2,633.0481,287.25998,594.707275390625,247.69781494140625,671.388916015625,326.8221435546875,0.8578682541847229
41,2,635.1902,268.38263,598.1136474609375,228.94671630859375,672.2667236328125,307.8185119628906,0.8404749035835266
42,2,637.882,252.7435,600.3951416015625,213.3011474609375,675.368896484375,292.18585205078125,0.8399127125740051
42,32,567.6581,177.97754,527.9448852539062,135.5247802734375,607.371337890625,220.43028259277344,0.7732466459274292
43,2,641.4304,241.8097,603.4744873046875,202.83377075195312,679.3863525390625,280.7856140136719,0.5039904713630676
43,32,558.82806,172.778,518.2656860351562,133.7675018310547,599.3904418945312,211.7884979248047,0.6641474962234497
43,19,743.6979,525.7459,704.8829345703125,489.287841796875,782.5128173828125,562.2039794921875,0.8448417782783508
44,2,644.83966,234.33698,606.3076782226562,196.65187072753906,683.3716430664062,272.0220642089844,0.7206153273582458
44,32,550.61914,171.8594,509.79901123046875,133.64170837402344,591.439208984375,210.07708740234375,0.7512109279632568
44,19,740.8961,534.79297,700.462890625,494.43389892578125,781.329345703125,575.152099609375,0.6786929368972778
45,32,545.46265,175.04846,504.6025695800781,137.47149658203125,586.3226928710938,212.6254425048828,0.6984724402427673
45,19,733.40393,514.3803,693.8268432617188,474.1391296386719,772.9810791015625,554.6215209960938,0.7794337868690491
46,32,544.5129,181.7168,503.6406555175781,143.7966766357422,585.3850708007812,219.63693237304688,0.7046147584915161
47,32,545.91095,190.30655,506.1924133300781,152.25271606445312,585.6294555664062,228.3603973388672,0.854509174823761
48,32,549.6527,204.66476,509.8385314941406,166.4894256591797,589.4669189453125,242.84010314941406,0.879302442073822
49,32,553.13525,225.6101,514.5591430664062,188.5968780517578,591.7113647460938,262.62335205078125,0.807880699634552
50,32,560.283,248.83171,521.9072265625,210.24398803710938,598.6588134765625,287.41943359375,0.8587207794189453
50,36,696.0678,355.4264,656.9581909179688,320.227783203125,735.1774291992188,390.6250305175781,0.8744509816169739
51,32,566.8384,275.75427,528.4891967773438,236.0032958984375,605.1876220703125,315.5052490234375,0.6327612400054932
52,32,574.77783,305.0124,537.6073608398438,265.8961181640625,611.9482421875,344.1286315917969,0.8684172034263611
52,37,681.45154,316.06686,642.0969848632812,276.1258239746094,720.8060302734375,356.0079040527344,0.9294848442077637
53,32,581.7651,343.32812,543.6381225585938,306.165283203125,619.8920288085938,380.4909362792969,0.7535976767539978
54,32,587.7833,383.09528,550.57568359375,346.0489196777344,624.9909057617188,420.14166259765625,0.7649894952774048
54,37,668.13385,292.27582,630.4828491210938,252.95706176757812,705.7848510742188,331.5946044921875,0.707091212272644
55,37,661.7967,283.28406,624.3330688476562,244.8875732421875,699.2603149414062,321.6805114746094,0.8988696932792664
56,37,654.2847,279.83304,617.0986938476562,240.99156188964844,691.4707641601562,318.67449951171875,0.8385660648345947
57,37,648.2558,277.5454,610.0458984375,237.0559844970703,686.4656982421875,318.03485107421875,0.9065293073654175
58,37,644.30084,274.14954,606.9384765625,231.74351501464844,681.6632080078125,316.5555725097656,0.6416313648223877
58,43,615.5348,545.4562,577.824951171875,504.9739990234375,653.2445678710938,585.9383544921875,0.7041293978691101
58,44,747.0918,175.9079,709.050048828125,137.07029724121094,785.133544921875,214.74549865722656,0.9194148778915405
59,37,638.4319,265.81467,601.0751342773438,224.61044311523438,675.78857421875,307.0188903808594,0.7366997599601746
59,32,616.20996,502.98126,577.6853637695312,461.0638732910156,654.734619140625,544.898681640625,0.7006987929344177
63,49,625.63544,368.0373,585.9710693359375,328.880859375,665.2998046875,407.1937561035156,0.8078727126121521
64,49,627.13434,341.73193,588.5418090820312,303.5310974121094,665.7268676757812,379.9327697753906,0.8072888851165771
65,49,629.1815,315.87476,590.979736328125,277.4331359863281,667.3833618164062,354.31640625,0.8536547422409058
66,49,632.3076,292.3377,593.8720703125,254.6356201171875,670.7431640625,330.0398254394531,0.8932415246963501
66,53,568.35803,184.19589,530.5929565429688,147.11322021484375,606.1231079101562,221.278564453125,0.6482004523277283
67,49,633.92444,272.7212,595.8217163085938,235.63922119140625,672.027099609375,309.8031921386719,0.8188080191612244
67,53,558.41364,176.38419,521.1563110351562,139.4086456298828,595.6709594726562,213.35971069335938,0.8212240934371948
68,49,637.2396,258.33826,599.2964477539062,221.39796447753906,675.1827392578125,295.278564453125,0.785154402256012
68,53,549.40686,170.04208,511.7705078125,132.2589111328125,587.0431518554688,207.8252716064453,0.8185579180717468
69,49,640.49255,245.84799,602.4207763671875,207.66517639160156,678.5643310546875,284.0307922363281,0.8017691373825073
69,53,542.3016,166.37738,502.80108642578125,127.99868774414062,581.8020629882812,204.75607299804688,0.8220144510269165
70,49,642.8012,238.24646,604.3990478515625,200.2448272705078,681.203369140625,276.24810791015625,0.8508168458938599
70,53,535.0148,164.85242,495.09765625,125.90946197509766,574.9318237304688,203.7953643798828,0.7607763409614563
71,49,646.6975,232.28925,608.6148071289062,195.1444091796875,684.7801513671875,269.43408203125,0.8688536286354065
71,53,531.9911,165.60907,491.67529296875,126.63325500488281,572.3068237304688,204.58486938476562,0.9144196510314941
71,57,748.9346,533.71277,710.8743896484375,495.0660400390625,786.9948120117188,572.3594970703125,0.8167694211006165
72,49,648.3811,226.29388,610.0469970703125,189.20736694335938,686.7152099609375,263.3804016113281,0.7471780180931091
72,53,530.6604,168.56046,490.5634460449219,129.84542846679688,570.75732421875,207.27548217773438,0.8473182916641235
73,19,734.0116,451.59375,694.1768188476562,415.56658935546875,773.8463134765625,487.6209411621094,0.6643628478050232
73,37,534.3253,179.47363,494.22528076171875,140.8245849609375,574.42529296875,218.12269592285156,0.7160336375236511
75,59,543.23926,205.15598,503.8357849121094,166.77671813964844,582.6427612304688,243.5352325439453,0.810238242149353
76,59,549.9276,224.91,510.9300842285156,186.75975036621094,588.9251708984375,263.0602722167969,0.8558241128921509
77,59,559.23486,251.44662,521.678466796875,213.3393096923828,596.7911987304688,289.5539245605469,0.8046339154243469
77,36,711.4353,344.40625,672.4595947265625,305.4305114746094,750.4110107421875,383.38201904296875,0.40783098340034485
78,59,568.8393,277.27234,531.7421875,236.9403076171875,605.9364013671875,317.6043701171875,0.6803087592124939
78,36,709.25494,332.28693,671.4930419921875,292.2090759277344,747.016845703125,372.3647766113281,0.7138872146606445
79,59,578.8274,309.12778,541.5485229492188,269.9479064941406,616.1063232421875,348.3076477050781,0.7982878684997559
79,36,703.525,317.32208,666.1510009765625,276.22039794921875,740.8990478515625,358.4237365722656,0.8745597004890442
80,59,586.7263,349.19196,549.5578002929688,311.68145751953125,623.8948974609375,386.7024230957031,0.705194354057312
80,36,698.42957,301.276,659.6328735351562,260.5918273925781,737.2262573242188,341.9601745605469,0.7947574257850647
81,59,595.88574,390.1819,558.2808227539062,353.1897888183594,633.4906616210938,427.1739501953125,0.7379180788993835
81,36,692.0424,286.87714,653.2745971679688,247.48556518554688,730.8102416992188,326.26873779296875,0.7627004384994507
82,59,605.24084,433.90063,568.375732421875,395.35223388671875,642.10595703125,472.44903564453125,0.5234771370887756
82,36,687.54944,279.09073,649.3953247070312,240.76910400390625,725.70361328125,317.412353515625,0.5996167063713074
83,59,614.3967,483.45087,576.6170043945312,441.0100402832031,652.1763916015625,525.8916625976562,0.798119843006134
83,36,682.1594,273.83536,643.8543090820312,234.24188232421875,720.464599609375,313.4288330078125,0.40668246150016785
84,36,677.96265,272.922,640.0225219726562,230.03350830078125,715.90283203125,315.81048583984375,0.7152826189994812
84,43,624.2632,545.42395,587.594482421875,502.1204833984375,660.9319458007812,588.7274780273438,0.7204185128211975
84,44,745.2144,158.9425,706.6492309570312,120.83638000488281,783.7796020507812,197.0486297607422,0.30950111150741577
85,59,632.19434,546.70337,595.1903076171875,509.9128112792969,669.1984252929688,583.4939575195312,0.7329832315444946
87,36,663.115,251.48582,625.2162475585938,210.47900390625,701.013671875,292.4926452636719,0.3476100564002991
88,65,762.32275,200.02386,721.2510986328125,160.23123168945312,803.3944091796875,239.81651306152344,0.7154658436775208
88,36,656.4012,244.69891,619.9891967773438,200.8976287841797,692.8131713867188,288.5002136230469,0.34519287943840027
90,67,648.11414,361.5697,608.3683471679688,324.6719665527344,687.8599243164062,398.4674377441406,0.7681760787963867
91,67,650.4686,336.23727,612.7169799804688,297.596923828125,688.22021484375,374.87762451171875,0.7570633888244629
92,67,654.672,309.82867,616.395751953125,265.71466064453125,692.9481811523438,353.9426574707031,0.6399333477020264
92,69,751.4914,303.5881,711.62451171875,262.1300964355469,791.3582763671875,345.0461120605469,0.8080444931983948
93,67,659.5884,284.4627,621.557373046875,243.4458465576172,697.6194458007812,325.4795837402344,0.7471920847892761
94,67,663.7996,263.44778,625.4560546875,224.18093872070312,702.1431884765625,302.7146301269531,0.7013312578201294
95,67,668.381,246.81006,631.2007446289062,207.57420349121094,705.5611572265625,286.0458984375,0.8794665336608887
96,67,672.5941,233.72629,633.7984008789062,194.6206512451172,711.3898315429688,272.8319396972656,0.48555418848991394
96,71,559.0222,171.581,518.0692138671875,133.02328491210938,599.9752807617188,210.13870239257812,0.7501416802406311
97,67,677.55707,226.50562,639.2434692382812,187.6638946533203,715.8706665039062,265.34735107421875,0.8767027854919434
97,71,552.70685,172.0794,512.4636840820312,133.68983459472656,592.9500122070312,210.46896362304688,0.8710800409317017
97,57,735.3301,520.8639,697.542724609375,480.25872802734375,773.1174926757812,561.468994140625,0.4713015556335449
98,67,682.15955,220.81041,643.0866088867188,183.43618774414062,721.2325439453125,258.18463134765625,0.7316668033599854
98,71,547.9927,175.50023,507.89825439453125,137.3518829345703,588.0870971679688,213.64857482910156,0.8676507472991943
98,57,732.725,538.4248,695.7483520507812,500.22967529296875,769.7015991210938,576.619873046875,0.9226765632629395
99,71,547.6833,182.02356,507.9448547363281,143.8201904296875,587.4216918945312,220.2269287109375,0.7855468392372131
100,71,548.56934,193.33755,508.910400390625,154.61021423339844,588.2283325195312,232.06491088867188,0.8793587684631348
101,71,552.23193,207.78142,513.9417724609375,169.0830841064453,590.5220336914062,246.47975158691406,0.8836759924888611
102,71,557.6123,226.64194,519.1102905273438,188.06797790527344,596.1142578125,265.21588134765625,0.8617298007011414
102,67,704.9775,190.98065,666.1533813476562,152.35169982910156,743.8015747070312,229.60960388183594,0.5601863265037537
103,71,563.16266,251.47762,524.4703979492188,211.99493408203125,601.8549194335938,290.9602966308594,0.8201438784599304
104,71,571.9843,277.82227,533.16357421875,236.6973419189453,610.8050537109375,318.9471740722656,0.7777822017669678
105,71,577.5117,311.59433,538.3049926757812,270.6529541015625,616.7184448242188,352.53570556640625,0.7569864988327026
106,71,584.501,349.50812,546.0681762695312,309.59332275390625,622.9337158203125,389.4229431152344,0.7615940570831299
106,78,686.7444,313.79382,649.6048583984375,272.79815673828125,723.8839721679688,354.78948974609375,0.7460559010505676
107,71,590.5816,391.88312,552.0277709960938,348.77545166015625,629.1354370117188,434.9907531738281,0.8780660033226013
108,71,597.7014,431.80478,557.7088012695312,388.9045715332031,637.6940307617188,474.7049865722656,0.8357366323471069
108,44,746.2255,166.08179,706.4262084960938,126.68038940429688,786.0248413085938,205.4832000732422,0.447905033826828
109,71,602.5967,477.21454,564.7854614257812,436.48443603515625,640.407958984375,517.9446411132812,0.7763147950172424
109,79,672.61206,272.85782,635.5953369140625,234.1183319091797,709.6287841796875,311.5973205566406,0.47471654415130615
109,44,748.8103,167.15071,709.9403686523438,127.81682586669922,787.68017578125,206.48460388183594,0.35879185795783997
110,79,666.89075,269.4367,627.9107055664062,228.16708374023438,705.870849609375,310.7063293457031,0.5866851806640625
110,44,752.9679,169.14656,714.1162719726562,129.92562866210938,791.8194580078125,208.36749267578125,0.6446428894996643
110,43,614.1046,544.4481,576.9681396484375,505.83416748046875,651.2410888671875,583.0621337890625,0.702799379825592
111,79,661.2843,265.38666,622.5385131835938,225.07716369628906,700.0301513671875,305.6961364746094,0.7827979922294617
111,44,757.24817,173.83218,716.8106079101562,134.1799774169922,797.6857299804688,213.484375,0.2861591577529907
111,43,615.3101,544.31226,577.9338989257812,506.36669921875,652.6863403320312,582.2578125,0.7916279435157776
112,65,765.2525,186.18185,720.538330078125,146.36219787597656,809.9666748046875,226.00152587890625,0.3844132125377655
113,65,764.672,194.69548,721.76513671875,154.89747619628906,807.578857421875,234.4934844970703,0.5580014586448669
113,79,651.6735,249.02048,614.4814453125,210.04408264160156,688.8656005859375,287.99688720703125,0.37452226877212524
114,65,762.18414,208.78006,721.3216552734375,169.3885040283203,803.046630859375,248.171630859375,0.6411395072937012
114,81,621.9164,431.19678,583.9743041992188,391.42462158203125,659.8584594726562,470.9689636230469,0.9262406826019287
