frame,ball_id,center_x,center_y,center_x_norm,center_y_norm
3085,1,241.48657,566.3902,0.188661,0.786653
3086,1,254.82858,562.4518,0.199085,0.781183
3087,1,266.5466,558.2137,0.20824,0.775297
3088,1,279.03137,555.53796,0.217993,0.77158
3089,1,289.47766,553.04364,0.226154,0.768116
3090,1,297.64532,545.58136,0.232535,0.757752
3091,1,294.89636,537.7258,0.230388,0.746841
3092,1,292.28882,529.31305,0.228351,0.735157
3093,1,285.59506,523.4917,0.223121,0.727072
3094,1,279.74884,521.3415,0.218554,0.724085
3095,1,275.57767,523.1513,0.215295,0.726599
3096,1,267.9183,526.15784,0.209311,0.730775
3097,1,263.97632,533.8065,0.206231,0.741398
3098,1,257.26917,546.286,0.200992,0.758731
3099,1,251.76103,560.56934,0.196688,0.778569
3100,1,248.02707,565.571,0.193771,0.785515
3101,1,244.83289,561.80347,0.191276,0.780283
3102,1,242.1406,555.7445,0.189172,0.771867
3103,1,241.14096,551.2881,0.188391,0.765678
3104,1,237.03955,552.1876,0.185187,0.766927
3105,1,234.67477,553.2778,0.18334,0.768441
3106,1,232.0668,558.68896,0.181302,0.775957
3107,1,230.13814,566.97327,0.179795,0.787463
3108,1,227.57472,569.510185,0.1777925,0.7909865
3109,1,225.0113,572.0471,0.17579,0.79451
3110,1,222.78793,569.70544,0.174053,0.791258
3111,1,218.61511,568.9817,0.170793,0.790252
3112,1,215.77673,569.62976,0.168576,0.791152
3113,1,213.56998,573.0294,0.166852,0.795874
3114,1,210.61101,581.6931,0.16454,0.807907
3115,1,208.4266,587.34436,0.162833,0.815756
3116,1,205.78955,589.22485,0.160773,0.818368
3117,1,200.49422,587.51306,0.156636,0.81599
3118,1,200.70663,584.68384,0.156802,0.812061
4956,2,725.98254,546.302,0.567174,0.758753
4957,2,718.1793,519.6699,0.561078,0.721764
4958,2,711.4078,478.02173,0.555787,0.663919
4959,2,704.2289,440.88162,0.550179,0.612336
4960,2,697.4845,407.6481,0.54491,0.566178
4961,2,689.17786,379.40515,0.53842,0.526952
4962,2,683.1915,352.9023,0.533743,0.490142
4963,2,676.20886,327.1968,0.528288,0.45444
4964,2,671.38403,308.1406,0.524519,0.427973
4965,2,663.46783,291.4816,0.518334,0.404836
4966,2,655.48676,278.39224,0.512099,0.386656
4967,2,649.19666,271.35043,0.507185,0.376876
4968,2,644.24786,266.66998,0.503319,0.370375
4969,2,636.833,265.88745,0.497526,0.369288
4970,2,631.5517,261.81918,0.4934,0.363638
4971,2,624.1247,258.44254,0.487597,0.358948
4972,2,616.16644,247.8248,0.48138,0.344201
4973,2,606.7727,235.88167,0.474041,0.327613
4974,2,596.630806,226.129314,0.4661175999999999,0.3140681999999999
4975,2,586.488912,216.376958,0.4581942,0.3005234
4976,2,576.3470179999999,206.624602,0.4502707999999999,0.2869786
4977,2,566.205124,196.872246,0.4423474,0.2734338
4978,2,556.06323,187.11989,0.434424,0.259889
4979,2,547.2948,179.52715,0.427574,0.249343
1882,3,740.76953,543.9896,0.578726,0.755541
1883,3,740.259667037037,543.8458903703704,0.5783276666666667,0.7553414074074074
1884,3,739.7498040740741,543.7021807407407,0.5779293333333333,0.7551418148148148
1885,3,739.2399411111112,543.5584711111111,0.577531,0.7549422222222223
1886,3,738.7300781481482,543.4147614814815,0.5771326666666666,0.7547426296296297
1887,3,738.2202151851852,543.2710518518519,0.5767343333333333,0.7545430370370371
1888,3,737.7103522222222,543.1273422222222,0.576336,0.7543434444444445
1889,3,737.2004892592593,542.9836325925926,0.5759376666666667,0.7541438518518518
1890,3,736.6906262962963,542.839922962963,0.5755393333333333,0.7539442592592592
1891,3,736.1807633333334,542.6962133333333,0.575141,0.7537446666666667
1892,3,735.6709003703704,542.5525037037037,0.5747426666666666,0.7535450740740741
1893,3,735.1610374074074,542.4087940740741,0.5743443333333333,0.7533454814814815
1894,3,734.6511744444445,542.2650844444444,0.573946,0.7531458888888889
1895,3,734.1413114814815,542.1213748148148,0.5735476666666667,0.7529462962962963
1896,3,733.6314485185186,541.9776651851852,0.5731493333333333,0.7527467037037038
1897,3,733.1215855555556,541.8339555555556,0.572751,0.7525471111111112
1898,3,732.6117225925926,541.6902459259259,0.5723526666666666,0.7523475185185186
1899,3,732.1018596296296,541.5465362962963,0.5719543333333333,0.7521479259259259
1900,3,731.5919966666667,541.4028266666667,0.571556,0.7519483333333333
1901,3,731.0821337037038,541.259117037037,0.5711576666666667,0.7517487407407408
1902,3,730.5722707407408,541.1154074074074,0.5707593333333333,0.7515491481481482
1903,3,730.0624077777778,540.9716977777778,0.570361,0.7513495555555556
1904,3,729.5525448148148,540.827988148148,0.5699626666666666,0.751149962962963
1905,3,729.0426818518519,540.6842785185185,0.5695643333333333,0.7509503703703704
1906,3,728.5328188888889,540.5405688888889,0.569166,0.7507507777777778
1907,3,728.022955925926,540.3968592592593,0.5687676666666667,0.7505511851851853
1908,3,727.513092962963,540.2531496296295,0.5683693333333333,0.7503515925925927
1909,3,727.00323,540.10944,0.567971,0.750152
1910,3,722.82385,532.68176,0.564706,0.739836
1911,3,723.0634692,532.1850512000001,0.5648932,0.73914612
